Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C9",0402,4,1uF,C52923
"C10, C11, C12, C13, C14, C15, C16, C3, C5, C6",0402,10,100nF,C1525
"C17, C7",0402,2,22pF,C1555
C8,0402,1,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D64, D67, D68, D69, D7, D70, D8, D9",CUSTOM D_SOD-123,64,1N4148,
F1,1206,1,500 mA,C70076
R1,0603,1,10k,C25744
"R2, R3",0402,2,27,C25190
"R4, R5",0402,2,5.1k,C25744
R6,0402,1,1k,C11702
R7,0402,1,1M,C22935
R8,0603,1,1k,C11702
SW1,SW_SPST_SKQG_WithStem,1,Boot,C318884
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOT-23,1,XC6206,C5446
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-23-6,1,USBLC6-2SC6,C7519
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
