Designator,Mid X,Mid Y,Rotation,Layer
C1,114.9175,-104.33375,270.0,bottom
C10,126.108393,-104.29975,225.0,bottom
C11,116.948518,-100.7755,0.0,bottom
C12,119.488518,-91.7585,0.0,bottom
C13,130.77575,-97.88275,180.0,bottom
C14,125.330518,-90.7425,135.0,bottom
C15,118.20275,-103.47075,270.0,bottom
C16,119.72675,-103.47075,270.0,bottom
C17,134.347518,-97.9815,0.0,bottom
C2,40.459375,-47.943919,180.0,bottom
C3,109.9325,-93.51375,270.0,bottom
C4,116.948518,-99.7595,0.0,bottom
C5,115.15475,-95.46975,0.0,bottom
C6,130.77575,-99.40675,180.0,bottom
C7,134.601518,-91.27875,180.0,bottom
C8,113.7175,-104.33375,90.0,bottom
C9,115.15475,-96.99375,0.0,bottom
D1,20.5625,-27.3125,90.0,bottom
D10,192.0125,-27.3125,90.0,bottom
D11,211.0625,-27.3125,90.0,bottom
D12,230.1125,-27.3125,90.0,bottom
D13,249.1625,-27.3125,90.0,bottom
D14,268.2125,-27.3125,90.0,bottom
D15,25.325,-46.3625,90.0,bottom
D16,49.1375,-46.3625,90.0,bottom
D17,68.1875,-46.3625,90.0,bottom
D18,87.2375,-46.3625,90.0,bottom
D19,106.2875,-46.3625,90.0,bottom
D2,39.6125,-27.3125,90.0,bottom
D20,125.3375,-46.3625,90.0,bottom
D21,144.3875,-46.3625,90.0,bottom
D22,163.4375,-46.3625,90.0,bottom
D23,182.4875,-46.3625,90.0,bottom
D24,201.5375,-46.3625,90.0,bottom
D25,220.5875,-46.3625,90.0,bottom
D26,239.6375,-46.3625,90.0,bottom
D27,258.6875,-46.3625,90.0,bottom
D28,287.2625,-27.3125,90.0,bottom
D29,22.84,-65.4125,90.0,bottom
D3,58.6625,-27.3125,90.0,bottom
D30,53.9,-65.4125,90.0,bottom
D31,72.95,-65.4125,90.0,bottom
D32,92.0,-65.4125,90.0,bottom
D33,111.05,-65.4125,90.0,bottom
D34,130.1,-65.4125,90.0,bottom
D35,149.15,-65.4125,90.0,bottom
D36,168.2,-65.4125,90.0,bottom
D37,187.25,-65.4125,90.0,bottom
D38,206.3,-65.4125,90.0,bottom
D39,225.35,-65.4125,90.0,bottom
D4,77.7125,-27.3125,90.0,bottom
D40,244.4,-65.4125,90.0,bottom
D41,263.45,-65.4125,90.0,bottom
D42,284.88125,-55.8875,90.0,bottom
D43,22.94375,-84.4625,90.0,bottom
D44,44.375,-84.4625,90.0,bottom
D45,63.425,-84.4625,90.0,bottom
D46,82.475,-84.4625,90.0,bottom
D47,101.525,-84.4625,90.0,bottom
D48,120.575,-84.4625,90.0,bottom
D49,139.625,-84.4625,90.0,bottom
D5,96.7625,-27.3125,90.0,bottom
D50,158.675,-84.4625,90.0,bottom
D51,177.725,-84.4625,90.0,bottom
D52,196.775,-84.4625,90.0,bottom
D53,215.825,-84.4625,90.0,bottom
D54,234.875,-84.4625,90.0,bottom
D55,261.06875,-84.4625,90.0,bottom
D56,287.2625,-84.4625,90.0,bottom
D57,22.94375,-103.5125,90.0,bottom
D58,46.75625,-103.5125,90.0,bottom
D59,70.56875,-103.5125,90.0,bottom
D6,115.8125,-27.3125,90.0,bottom
D64,142.00625,-103.5125,90.0,bottom
D67,213.44375,-103.5125,90.0,bottom
D68,237.25625,-103.5125,90.0,bottom
D69,261.06875,-103.5125,90.0,bottom
D7,134.8625,-27.3125,90.0,bottom
D70,284.88125,-103.5125,90.0,bottom
D8,153.9125,-27.3125,90.0,bottom
D9,172.9625,-27.3125,90.0,bottom
F1,46.64375,-33.3375,0.0,bottom
H1,28.7567,-25.94392,0.0,top
H2,142.964727,-60.6325,0.0,top
J1,32.754847,-12.154923,180.0,bottom
R1,130.2225,-102.91375,90.0,bottom
R2,111.4325,-97.42375,180.0,bottom
R3,111.4325,-98.95375,180.0,bottom
R4,30.275625,-21.43125,0.0,bottom
R5,35.02,-20.778125,180.0,bottom
R6,45.647722,-68.032687,270.0,bottom
R7,40.86,-16.62,180.0,bottom
R8,130.77575,-95.85075,0.0,bottom
SW1,43.887722,-62.812687,270.0,bottom
U1,123.1875,-96.99375,270.0,bottom
U2,40.006875,-50.183919,180.0,bottom
U3,111.8425,-87.86375,270.0,bottom
U4,55.959375,-33.3375,180.0,bottom
Y1,134.33175,-94.70775,90.0,bottom
